ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl020624968;"Etude de paysage";"THIER Bernhard Heinrich";;"430 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 25, dessiné au verso";
cl020624969;"Etude de maison et de meule de foin";"THIER Bernhard Heinrich";;"431 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 26, dessiné au recto";
cl020624970;"Etude de paysage";"THIER Bernhard Heinrich";;"431 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 26, dessiné au verso";
cl020624971;"Etude de maison et de meule de foin";"THIER Bernhard Heinrich";;"432 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 27, dessiné au recto";
cl020624972;"Etude de paysage";"THIER Bernhard Heinrich";;"432 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 27, dessiné au verso";
cl020624973;"Etude de maison et de meule de foin";"THIER Bernhard Heinrich";;"433 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 28, dessiné au recto";
cl020624974;"Etude de paysage";"THIER Bernhard Heinrich";;"433 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 28, dessiné au verso";
cl020624975;"Etude de paysage";"THIER Bernhard Heinrich";;"434 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 29, dessiné au recto";
cl020624976;"Etude de paysage";"THIER Bernhard Heinrich";;"434 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 29, dessiné au verso";
cl020624977;"Etude de paysage";"THIER Bernhard Heinrich";;"435 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 30, dessiné au recto";
cl020624978;"Etude de paysage";"THIER Bernhard Heinrich";;"435 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 30, dessiné au verso";
cl020624979;"Etude de paysage";"THIER Bernhard Heinrich";;"436 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 31, dessiné au recto";
cl020624980;"Etude de paysage";"THIER Bernhard Heinrich";;"436 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 31, dessiné au verso";
cl020624981;"Etude de paysage";"THIER Bernhard Heinrich";;"437 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 32, dessiné au recto";
cl020624982;"Etude de paysage";"THIER Bernhard Heinrich";;"437 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 32, dessiné au verso";
cl020624983;"Etude de paysage";"THIER Bernhard Heinrich";;"438 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 33, dessiné au recto";
cl020624984;"Etude de paysage";"THIER Bernhard Heinrich";;"438 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 33, dessiné au verso";
